Class,Confidence,top,left,bottom,right,Width,Height,Model,Inference Time (Sec),Driving Condition,ImageID
8,0.9733686,0.3493675,0.18390955,0.85848033,0.76811284,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.9147748,0.40448883,0.33653075,0.8967138,0.82186764,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.8071396,0.3441165,0.07954832,0.7974095,0.54063505,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
3,0.09655006,0.21815178,0.35313946,0.92503685,0.84592986,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.06793695,0.2691724,0.4895814,0.66895205,0.8175682,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.054783665,0.47312978,0.014069376,0.7580057,0.3320256,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.04637406,0.39920658,0.42697832,0.68425435,0.8170213,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.0422873,0.22687025,0.047360707,0.81344056,0.40177214,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
3,0.021042995,0.24452676,0.46806112,0.69137913,0.849511,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.020395804,0.35753816,0.5172931,0.90944755,0.88934845,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
8,0.015801398,0.56138325,0.018082866,0.8036131,0.32348868,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
3,0.013365724,0.24469635,0.20281813,0.8974072,0.7081531,600,450,faster_rcnn_inception_v2_coco_custom,1.2728466987609863,day,000000154000_reSized.jpg
