filename,New_filename,width,height,class,widthScaled,heightScaled,xmin,ymin,xmax,ymax,id,xmin_scaled,ymin_scaled,xmax_scaled,ymax_scaled,xmin_new,ymin_new,xmax_new,ymax_new,xmin_new_scaled,ymin_new_scaled,xmax_new_scaled,ymax_new_scaled
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,traffic light,150,84,669,328,694,412,10,0.3484375,0.3037037037037037,0.3614583333333333,0.3814814814814815,52,25,54,32,0.3466666666666667,0.2976190476190476,0.36,0.38095238095238093
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,traffic light,150,84,843,359,865,402,10,0.4390625,0.33240740740740743,0.4505208333333333,0.37222222222222223,65,27,67,31,0.43333333333333335,0.32142857142857145,0.44666666666666666,0.36904761904761907
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,traffic light,150,84,974,361,997,402,10,0.5072916666666667,0.3342592592592593,0.5192708333333333,0.37222222222222223,76,28,77,31,0.5066666666666667,0.3333333333333333,0.5133333333333333,0.36904761904761907
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,car,150,84,5,465,443,697,3,0.0026041666666666665,0.4305555555555556,0.2307291666666667,0.6453703703703704,0,36,34,54,0.0,0.42857142857142855,0.22666666666666666,0.6428571428571429
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,truck,150,84,1082,513,1627,697,8,0.5635416666666667,0.475,0.8473958333333333,0.6453703703703704,84,39,127,54,0.56,0.4642857142857143,0.8466666666666667,0.6428571428571429
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,truck,150,84,508,552,577,596,8,0.2645833333333333,0.5111111111111111,0.3005208333333333,0.5518518518518518,39,42,45,46,0.26,0.5,0.3,0.5476190476190477
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,truck,150,84,609,532,692,600,8,0.3171875,0.4925925925925926,0.36041666666666666,0.5555555555555556,47,41,54,46,0.31333333333333335,0.4880952380952381,0.36,0.5476190476190477
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,car,150,84,798,509,1075,648,3,0.415625,0.4712962962962962,0.5598958333333334,0.6,62,39,83,50,0.41333333333333333,0.4642857142857143,0.5533333333333333,0.5952380952380952
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,car,150,84,673,543,890,634,3,0.3505208333333333,0.5027777777777778,0.4635416666666667,0.587037037037037,52,42,69,49,0.3466666666666667,0.5,0.46,0.5833333333333334
Dayvideo7_carrolton1.jpg,Dayvideo7_carrolton1_reSized.jpg,1920,1080,car,150,84,1615,554,1894,665,3,0.8411458333333334,0.512962962962963,0.9864583333333332,0.6157407407407407,126,43,147,51,0.84,0.5119047619047619,0.98,0.6071428571428571
