# AP and precision/recall per class
31.44% = 10 AP  
 Precision: ['0.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '0.95', '0.90', '0.86', '0.86', '0.83', '0.79', '0.76', '0.00']
 Recall   :['0.00', '0.02', '0.03', '0.05', '0.07', '0.08', '0.10', '0.12', '0.13', '0.15', '0.17', '0.18', '0.20', '0.22', '0.23', '0.25', '0.27', '0.28', '0.30', '0.30', '0.30', '0.30', '0.32', '0.32', '0.32', '0.32', '1.00']

57.23% = 3 AP  
 Precision: ['0.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '1.00', '0.94', '0.94', '0.94', '0.95', '0.95', '0.90', '0.91', '0.91', '0.92', '0.92', '0.92', '0.93', '0.93', '0.93', '0.93', '0.94', '0.94', '0.94', '0.94', '0.94', '0.94', '0.95', '0.95', '0.95', '0.95', '0.93', '0.93', '0.93', '0.93', '0.93', '0.91', '0.91', '0.90', '0.88', '0.88', '0.86', '0.87', '0.85', '0.85', '0.85', '0.86', '0.86', '0.84', '0.85', '0.83', '0.84', '0.84', '0.83', '0.81', '0.82', '0.80', '0.79', '0.78', '0.78', '0.79', '0.79', '0.79', '0.78', '0.77', '0.76', '0.76', '0.77', '0.76', '0.76', '0.76', '0.77', '0.77', '0.77', '0.76', '0.75', '0.74', '0.74', '0.73', '0.72', '0.71', '0.70', '0.70', '0.70', '0.70', '0.69', '0.69', '0.68', '0.67', '0.67', '0.67', '0.00']
 Recall   :['0.00', '0.01', '0.02', '0.03', '0.04', '0.05', '0.06', '0.07', '0.08', '0.08', '0.09', '0.10', '0.11', '0.12', '0.13', '0.14', '0.14', '0.15', '0.16', '0.17', '0.18', '0.18', '0.19', '0.20', '0.21', '0.22', '0.23', '0.24', '0.25', '0.25', '0.26', '0.27', '0.28', '0.29', '0.30', '0.31', '0.32', '0.33', '0.34', '0.35', '0.36', '0.36', '0.37', '0.38', '0.39', '0.40', '0.40', '0.41', '0.41', '0.41', '0.42', '0.42', '0.42', '0.42', '0.43', '0.44', '0.45', '0.46', '0.46', '0.47', '0.47', '0.48', '0.49', '0.49', '0.49', '0.50', '0.50', '0.50', '0.50', '0.51', '0.52', '0.53', '0.54', '0.54', '0.54', '0.54', '0.55', '0.56', '0.56', '0.57', '0.58', '0.58', '0.59', '0.60', '0.60', '0.60', '0.60', '0.60', '0.60', '0.60', '0.60', '0.60', '0.60', '0.61', '0.62', '0.62', '0.62', '0.62', '0.62', '0.62', '0.63', '1.00']

38.75% = 8 AP  
 Precision: ['0.00', '1.00', '1.00', '1.00', '1.00', '0.80', '0.67', '0.57', '0.50', '0.56', '0.60', '0.64', '0.58', '0.62', '0.57', '0.53', '0.50', '0.47', '0.44', '0.42', '0.45', '0.43', '0.41', '0.39', '0.00']
 Recall   :['0.00', '0.06', '0.11', '0.17', '0.22', '0.22', '0.22', '0.22', '0.22', '0.28', '0.33', '0.39', '0.39', '0.44', '0.44', '0.44', '0.44', '0.44', '0.44', '0.44', '0.50', '0.50', '0.50', '0.50', '1.00']


# mAP of all classes
mAP = 42.47%

# Number of ground-truth objects per class
10: 60
3: 106
8: 18

# Number of predicted objects per class
1: 1 (tp:0, fp:1)
10: 25 (tp:19, fp:6)
17: 1 (tp:0, fp:1)
18: 1 (tp:0, fp:1)
3: 100 (tp:67, fp:33)
41: 2 (tp:0, fp:2)
6: 1 (tp:0, fp:1)
7: 1 (tp:0, fp:1)
75: 1 (tp:0, fp:1)
78: 1 (tp:0, fp:1)
8: 23 (tp:9, fp:14)
85: 1 (tp:0, fp:1)
9: 1 (tp:0, fp:1)
