Class,Confidence,top,left,bottom,right,Width,Height,Model,Inference Time (Sec),Driving Condition,ImageID
3,0.9961802,0.5394553,0.26015386,0.72271574,0.45524237,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.99465346,0.47107413,0.54171497,0.52624047,0.6080559,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.9897143,0.49269527,0.45763183,0.59164006,0.55250037,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.98697203,0.35362858,0.9081236,0.46580812,0.99718094,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.97100544,0.53155136,0.40634853,0.617214,0.47101146,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.735121,0.4185373,0.7227486,0.47812513,0.7698621,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.3860797,0.42213437,0.7088861,0.47823918,0.7715176,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.2037784,0.4112702,0.7264,0.47666314,0.7782389,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.067777164,0.33136985,0.90879,0.47396734,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.017609974,0.7181332,0.05935312,0.7932909,0.1120174,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.016112247,0.30594563,0.96182203,0.37775207,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.015274014,0.72342724,0.059323482,0.78511614,0.11076372,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.014145397,0.5645587,0.0052964725,0.74015355,0.07707366,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
