filename,width,height,class,xmin,ymin,xmax,ymax
IMG_6062_99.jpg,600,337,car,487,150,546,172
IMG_6062_99.jpg,600,337,car,402,156,453,174
IMG_6062_99.jpg,600,337,car,350,169,405,189
IMG_6062_99.jpg,600,337,car,269,178,320,194
IMG_6062_99.jpg,600,337,car,72,198,106,206
IMG_6062_72.jpg,600,337,car,533,102,591,124
IMG_6062_72.jpg,600,337,car,381,123,431,138
IMG_6062_72.jpg,600,337,car,405,114,450,129
IMG_6062_72.jpg,600,337,car,257,135,298,144
IMG_6084_171.jpg,600,337,car,16,104,139,177
IMG_6084_171.jpg,600,337,car,130,120,192,164
IMG_6084_171.jpg,600,337,car,222,139,259,162
IMG_6084_171.jpg,600,337,car,287,138,322,160
IMG_5959.jpg,600,450,car,308,222,517,302
IMG_5959.jpg,600,450,car,275,220,318,244
IMG_5959.jpg,600,450,car,528,242,557,266
IMG_5959.jpg,600,450,car,556,240,600,272
IMG_5971.jpg,600,450,truck,395,232,584,344
IMG_5971.jpg,600,450,car,346,253,391,290
IMG_5970.jpg,600,450,car,390,236,600,378
IMG_5970.jpg,600,450,stop sign,393,201,422,228
IMG_5964.jpg,600,450,car,294,253,367,303
IMG_5964.jpg,600,450,traffic light,194,175,220,208
IMG_5964.jpg,600,450,traffic light,257,178,283,204
IMG_5964.jpg,600,450,traffic light,515,114,536,139
IMG_5964.jpg,600,450,traffic light,554,102,572,123
IMG_5958.jpg,600,450,car,395,212,490,284
IMG_5958.jpg,600,450,car,381,225,401,253
IMG_5958.jpg,600,450,car,368,220,386,238
IMG_5973.jpg,600,450,car,316,250,554,361
IMG_5973.jpg,600,450,car,246,247,318,302
IMG_6082_522.jpg,600,337,car,64,181,253,244
IMG_6082_522.jpg,600,337,car,244,177,327,201
IMG_6082_522.jpg,600,337,car,411,148,475,169
IMG_6082_522.jpg,600,337,car,318,166,341,182
IMG_6082_522.jpg,600,337,truck,501,125,598,156
IMG_5977.jpg,600,450,car,375,215,511,293
IMG_5977.jpg,600,450,car,230,216,252,233
IMG_5977.jpg,600,450,car,300,217,324,234
IMG_5963.jpg,600,450,car,405,175,600,248
IMG_5963.jpg,600,450,car,347,163,461,221
IMG_5963.jpg,600,450,car,326,162,410,213
